CompanyName,RequiredSkills
Aayulogic,['C++']
Hearts & Tears,"['HTML', 'Machine Learning', 'CSS', 'JavaScript']"
Sustainable Solutions,['Python']
Innovate Tech,"['SQL', 'Java', 'JavaScript', 'CSS']"
SunBi Design Studio,['HTML']
Subisu,"['R', 'SQL', 'Java', 'CSS', 'Data Science']"
Stupa Tech,"['JavaScript', 'C++', 'Python', 'Java', 'Data Science']"
Braindigit,"['Data Science', 'HTML', 'CSS']"
WorldLink,"['Python', 'CSS', 'R']"
Nepal Construction Tech,"['R', 'JavaScript', 'Machine Learning', 'Python']"
Foodmandu,"['SQL', 'Python', 'Data Science']"
Nepal Manufacturing Tech,"['SQL', 'HTML', 'Machine Learning']"
NepBay,"['HTML', 'C++', 'SQL', 'Python', 'Data Science']"
Jobaxle,"['C++', 'R']"
Subisu,"['CSS', 'HTML', 'Machine Learning', 'Data Science', 'R']"
Pumori Software Solutions,"['Data Science', 'SQL', 'CSS', 'Machine Learning']"
Nepware,"['CSS', 'R']"
Nepware,"['C++', 'JavaScript', 'Data Science', 'Java', 'Python']"
Nepal Beauty Tech,['C++']
Digi Technolab,"['JavaScript', 'HTML', 'Python', 'CSS']"
Deerwalk,"['Machine Learning', 'R']"
Tech One Global,"['JavaScript', 'CSS', 'HTML', 'Data Science']"
Nepal Retail Tech,['SQL']
Nepware,"['JavaScript', 'Machine Learning', 'Data Science', 'SQL']"
Nepal Food Tech,"['HTML', 'Java', 'Python', 'C++']"
Nepal Fashion Tech,"['Python', 'R']"
Webpage Nepal,['Python']
Subisu,"['CSS', 'JavaScript', 'C++', 'R']"
GrowByData,"['Python', 'HTML']"
Swift Technology,['R']
NepBay,"['JavaScript', 'R', 'Data Science']"
Nepal Blockchain Solutions,"['Data Science', 'HTML', 'Java']"
Nepal Network Solutions,['C++']
Nepal Blockchain Solutions,['Python']
Braindigit,['C++']
Urban Girl,"['HTML', 'Data Science']"
Nepal Agri Tech,"['C++', 'SQL']"
ESignature,"['JavaScript', 'Java', 'Data Science', 'R']"
Nepal Automotive Tech,"['R', 'HTML']"
NepBay,"['JavaScript', 'R']"
Genese Solution,['Java']
Urban Girl,"['HTML', 'SQL', 'C++', 'CSS', 'Machine Learning']"
Vianet,"['Machine Learning', 'SQL', 'CSS', 'Python', 'JavaScript']"
Tech Sansar,['Java']
Nepal Hospitality Tech,"['Python', 'Machine Learning']"
Nepal App Development,['Machine Learning']
Ansu Solutions,"['JavaScript', 'R', 'Data Science']"
Optimum Futurist,"['C++', 'Java', 'HTML', 'Machine Learning', 'SQL']"
Nepal Agri Tech,"['Python', 'C++', 'Java', 'Machine Learning', 'SQL']"
One Click Innovation,"['Java', 'R', 'Python', 'JavaScript', 'Data Science']"
Nepal Food Tech,"['Python', 'JavaScript', 'Machine Learning', 'CSS', 'C++']"
VertexWeb,"['R', 'CSS', 'Machine Learning']"
Stupa Tech,['C++']
EB Pearls,['R']
Innovate Tech,"['C++', 'SQL', 'R', 'Machine Learning']"
Nepal Smart Tech,"['Data Science', 'CSS']"
Nepal Media,"['Java', 'C++', 'HTML', 'Machine Learning']"
Webpage Nepal,['Java']
Pathao,"['CSS', 'SQL', 'JavaScript', 'Machine Learning', 'C++']"
Nepal E-commerce Development,"['CSS', 'Machine Learning', 'SQL']"
Nepal Computer,"['SQL', 'Data Science']"
Nepal B2B,"['C++', 'SQL', 'Java', 'HTML']"
Tootle,"['JavaScript', 'C++', 'HTML']"
Nepal Edu Tech,"['HTML', 'Python']"
Nepal Legal Tech,"['R', 'C++', 'Data Science']"
Echo Innovators,['Data Science']
Nepal AI Solutions,"['Data Science', 'CSS', 'Java']"
Nepal Digital Marketing,"['SQL', 'CSS', 'C++', 'JavaScript']"
Stupa Tech,"['C++', 'HTML']"
NepaliPatro,"['Machine Learning', 'C++', 'HTML', 'Data Science']"
Nepal Beverage Tech,['Java']
Nepal Energy Tech,"['HTML', 'Machine Learning', 'SQL']"
Nepal Online Services,"['R', 'JavaScript', 'C++', 'Java', 'Machine Learning']"
Nepal IT,['Machine Learning']
Nepal Water Tech,"['R', 'Java', 'Python']"
Cotiviti Nepal,"['Data Science', 'Machine Learning', 'SQL']"
Nepal Hospitality Tech,"['C++', 'HTML', 'Python']"
Himalaya Organization,"['R', 'C++', 'Machine Learning']"
Pumori Software Solutions,"['JavaScript', 'Data Science']"
Nepal E-commerce Solutions,"['Machine Learning', 'Python', 'Java']"
DigiHub,"['Python', 'C++', 'SQL']"
ITONICS,['SQL']
Insight Workshop,"['HTML', 'R']"
Nepal Beverage Tech,"['HTML', 'Java']"
Innovative Solutions,"['Machine Learning', 'Data Science', 'Java', 'CSS', 'C++']"
Verscend Technologies,"['Data Science', 'JavaScript', 'Java']"
Sagoon,"['HTML', 'Java', 'Data Science', 'Python']"
Foodmandu,"['Java', 'SQL']"
Nepal Food Tech,['CSS']
ITONICS,['Machine Learning']
Yellow Nepal,"['JavaScript', 'R', 'CSS', 'Java']"
Tech In Asia Nepal,"['JavaScript', 'Python']"
SunBi Design Studio,"['Machine Learning', 'Data Science', 'HTML', 'CSS', 'C++']"
Nepal Agri Tech,"['JavaScript', 'C++', 'Java', 'Machine Learning', 'CSS']"
Nepal Payment Solutions,['Data Science']
Proshore,"['C++', 'R', 'SQL', 'Python']"
Elder IT Solutions,"['HTML', 'JavaScript']"
Mavorion Systems,"['Data Science', 'R']"
Tech In Asia Nepal,"['HTML', 'CSS']"
Nepal IT Services,['HTML']
Nepal Blockchain Solutions,"['HTML', 'JavaScript', 'Data Science', 'CSS']"
CloudTech,"['R', 'Java']"
Nepal Wireless,"['C++', 'JavaScript', 'SQL', 'Java']"
Nepal Automotive Tech,['Java']
Pathao,['C++']
Nepal E-commerce Development,"['Python', 'C++', 'CSS', 'HTML']"
Nepal Beauty Tech,"['Machine Learning', 'JavaScript', 'Java', 'C++']"
SunBi Design Studio,"['HTML', 'C++', 'JavaScript', 'Python', 'Machine Learning']"
Deerwalk Institute,"['Data Science', 'HTML', 'C++', 'Python', 'CSS']"
Swift Technology,"['CSS', 'HTML']"
Khalti,"['HTML', 'C++', 'JavaScript', 'CSS']"
Nepal Construction Tech,"['CSS', 'Data Science']"
Nepware,"['C++', 'Machine Learning', 'Data Science']"
Nepal Digital Marketing,"['C++', 'Java', 'Python']"
Vertex Solutions,"['Python', 'SQL', 'R', 'CSS']"
Nepal Water Tech,"['R', 'C++', 'Data Science']"
Sprout Technology,"['C++', 'CSS', 'Data Science', 'Python']"
Fusemachines,"['JavaScript', 'HTML', 'C++', 'SQL', 'Java']"
Nepal AI Solutions,"['Data Science', 'JavaScript', 'R', 'Java']"
Leapfrog Technology,['HTML']
Stupa IT,"['R', 'JavaScript']"
Nepal Telecom,"['C++', 'R', 'Machine Learning', 'CSS', 'Python']"
Ansu Solutions,"['HTML', 'Machine Learning', 'C++', 'JavaScript']"
Nepal Software Development,"['HTML', 'Machine Learning', 'CSS', 'SQL']"
Nepal Travel Tech,"['SQL', 'JavaScript']"
Nepware,['Machine Learning']
Hamro Doctor,"['Machine Learning', 'JavaScript', 'CSS', 'R', 'Python']"
LogPoint,"['JavaScript', 'HTML', 'Machine Learning', 'C++', 'Python']"
NAXA,"['R', 'Data Science', 'C++']"
Krishi Tech,"['SQL', 'JavaScript', 'Java', 'Machine Learning', 'Data Science']"
Nepal IT Services,"['JavaScript', 'CSS', 'Machine Learning', 'Java']"
Nepal Mobility Tech,"['HTML', 'Java']"
Elder IT Solutions,"['Data Science', 'HTML']"
Eminence Ways,"['R', 'Python', 'Machine Learning', 'CSS', 'Java']"
Nepal Telecom,"['Data Science', 'Machine Learning', 'Python']"
Nepal IT Services,['HTML']
IT Gurus,"['Data Science', 'Machine Learning', 'Python', 'Java']"
Nepal Big Data Solutions,"['C++', 'R', 'Python', 'JavaScript']"
Jobaxle,"['Python', 'Data Science', 'SQL']"
Nepal Media Tech,"['R', 'CSS', 'SQL']"
Digital Nepal,"['HTML', 'CSS']"
Tiger Palace Resort,"['HTML', 'C++', 'Python', 'R', 'Java']"
Foodmandu,"['HTML', 'CSS', 'Java', 'Machine Learning']"
Nepware,"['Machine Learning', 'HTML', 'CSS']"
IT Gurus,"['Python', 'Data Science', 'Java']"
Digital Nepal,"['SQL', 'Java', 'CSS']"
Jobaxle,"['SQL', 'JavaScript', 'Java', 'Python']"
Open Eyes IT Solution,"['CSS', 'Python', 'JavaScript', 'C++']"
Ansu Solutions,"['CSS', 'Data Science', 'SQL']"
NepBay,"['C++', 'HTML', 'Machine Learning', 'Data Science', 'Java']"
Nepal Agri Tech,"['CSS', 'Python', 'JavaScript', 'SQL']"
IT Gurus,"['Machine Learning', 'JavaScript', 'C++']"
NepaliPatro,"['CSS', 'Java', 'SQL']"
Nepal Big Data Solutions,"['JavaScript', 'SQL']"
Hearts & Tears,"['Data Science', 'HTML', 'Machine Learning']"
Nepal Digital Solutions,"['HTML', 'Java', 'SQL', 'JavaScript']"
Yomari,['JavaScript']
Nepal B2B,"['SQL', 'C++', 'Machine Learning']"
Nepal AI Solutions,"['SQL', 'CSS', 'HTML']"
Nepal Media Tech,"['Machine Learning', 'JavaScript', 'Python', 'Java']"
AXIOM Nepal,"['HTML', 'Python', 'Data Science']"
Nepal Wellness Tech,"['Java', 'CSS']"
Hamro Patro,"['C++', 'Data Science', 'Machine Learning', 'R', 'CSS']"
Genese Solution,"['R', 'JavaScript', 'C++', 'CSS', 'SQL']"
Nepal Software,['C++']
Nepal Fin Tech,"['Data Science', 'C++', 'CSS']"
Nepal Wellness Tech,"['SQL', 'CSS', 'HTML', 'R', 'Data Science']"
Nepal Beverage Tech,"['Data Science', 'CSS', 'Python', 'JavaScript', 'C++']"
Foodmandu,"['R', 'Machine Learning', 'C++', 'Java']"
Nepal Telecom Services,"['R', 'SQL', 'JavaScript', 'Machine Learning']"
Nepal E-commerce Development,['Machine Learning']
Nepal App Developers,"['Data Science', 'Java', 'JavaScript']"
Innovate Tech,"['SQL', 'C++', 'Machine Learning', 'Python', 'Java']"
Nepware,"['HTML', 'JavaScript', 'Java', 'Python']"
IntroCept,"['SQL', 'Java', 'Python', 'R', 'HTML']"
Nepal Online Services,"['CSS', 'HTML', 'SQL', 'Data Science']"
Nepal Green Tech,"['JavaScript', 'R', 'Data Science']"
Nepal Service Tech,"['Machine Learning', 'C++', 'CSS']"
Merojob,['Python']
Nepal Big Data Solutions,['JavaScript']
Pathao,"['SQL', 'Java', 'CSS', 'Python']"
Nepal Green Tech,['HTML']
Verscend,['SQL']
Deerwalk Institute,"['CSS', 'Data Science', 'R', 'Java', 'HTML']"
Nepal Payment Solutions,"['Java', 'R']"
Nepal App Developers,['Python']
Yellow Nepal,"['SQL', 'R', 'Java', 'C++']"
Ncell,"['R', 'Java', 'Python', 'Machine Learning', 'SQL']"
ESignature,"['C++', 'Python', 'Data Science', 'CSS']"
Stupa IT,"['Python', 'R', 'CSS', 'Machine Learning', 'Data Science']"
VertexWeb,"['Java', 'R', 'SQL', 'Machine Learning', 'CSS']"
Hearts & Tears,"['R', 'Data Science', 'CSS']"
Digital Home International,"['Python', 'Machine Learning', 'C++', 'CSS', 'Data Science']"
Nepal App Development,"['Python', 'R', 'Java', 'C++', 'JavaScript']"
AXIOM Nepal,"['HTML', 'Machine Learning', 'C++', 'Java']"
Nepal Digital Solutions,"['JavaScript', 'Data Science', 'HTML']"
F1Soft,"['JavaScript', 'HTML']"
Verisk Nepal,['CSS']
Braindigit,"['R', 'C++', 'SQL', 'Machine Learning', 'JavaScript']"
Nepal Software Development,"['R', 'Data Science', 'C++']"
Nepal App Developers,"['R', 'Java', 'SQL', 'Data Science']"
Yomari,['HTML']
Proshore,['Machine Learning']
Pumori Software Solutions,"['Java', 'CSS', 'R', 'Python']"
Nepal Network Solutions,"['C++', 'CSS', 'SQL', 'JavaScript', 'HTML']"
Nepal Network Solutions,"['Data Science', 'JavaScript']"
Sagoon,"['SQL', 'Java', 'C++', 'R', 'Python']"
Merojob,['R']
Hearts & Tears,"['CSS', 'Data Science']"
Nepal Cyber Solutions,['Data Science']
Softmandu,"['CSS', 'HTML', 'SQL', 'C++', 'Java']"
Genese Solution,['Python']
Sajha Yatayat,"['HTML', 'JavaScript', 'SQL', 'Machine Learning']"
Nepal Travel Tech,['Machine Learning']
Nepal Media,"['SQL', 'CSS', 'C++', 'R', 'JavaScript']"
NepaliPatro,"['SQL', 'Data Science', 'Python', 'HTML', 'JavaScript']"
Information Technology Nepal,"['HTML', 'Machine Learning', 'JavaScript']"
Digi Technolab,"['Data Science', 'Python']"
IntroCept,['HTML']
Pathao,"['SQL', 'Machine Learning', 'Data Science', 'JavaScript', 'CSS']"
Bits Innovation,"['Machine Learning', 'Python', 'CSS']"
F1Soft,"['C++', 'HTML', 'Java', 'SQL', 'JavaScript']"
Nepal Retail Tech,"['CSS', 'Machine Learning', 'Java', 'JavaScript', 'C++']"
Nepal Content Creation,"['Java', 'JavaScript', 'CSS', 'Machine Learning', 'C++']"
Stupa IT,"['C++', 'Data Science']"
Echo Innovators,"['JavaScript', 'Java', 'CSS', 'HTML']"
SastoDeal,"['JavaScript', 'SQL', 'R', 'HTML']"
AXIOM Nepal,['SQL']
Green IT Solutions,"['Data Science', 'Machine Learning']"
Nepal Telecom Services,"['HTML', 'CSS', 'Python']"
Nepal Water Tech,['SQL']
Merojob,"['SQL', 'Data Science', 'JavaScript']"
Nepal Logistics Tech,['SQL']
Nepal Graphic Design,"['C++', 'R', 'Java', 'Python']"
Hamro Doctor,['R']
ITONICS,"['JavaScript', 'C++']"
EB Pearls,"['Python', 'Java', 'Machine Learning', 'JavaScript']"
Nepal Digital Solutions,"['CSS', 'Python']"
Nepal Service Tech,"['HTML', 'JavaScript', 'Data Science']"
Cotiviti Nepal,"['CSS', 'Data Science', 'C++', 'Machine Learning']"
Cotiviti,"['C++', 'SQL', 'Data Science', 'R', 'JavaScript']"
Nepal Retail Tech,"['Java', 'Data Science', 'HTML', 'R', 'CSS']"
Nepal Fashion Tech,"['Machine Learning', 'R', 'Java', 'SQL']"
Nepal Green Tech,"['Machine Learning', 'Java']"
Iron Gate Technology,"['Machine Learning', 'HTML', 'CSS', 'Python']"
Mavorion Systems,"['JavaScript', 'C++']"
NepaliPatro,"['HTML', 'Python']"
Nepal SEO Services,"['R', 'Python']"
Nepal Network Solutions,"['SQL', 'Data Science', 'JavaScript', 'HTML']"
Nepal Software,"['JavaScript', 'C++', 'SQL', 'HTML', 'CSS']"
Digital Nepal,"['Machine Learning', 'CSS', 'R', 'Data Science']"
NepaliPatro,"['Machine Learning', 'CSS', 'R', 'JavaScript']"
Techsanjal,"['R', 'HTML', 'Python', 'CSS']"
WorldLink,"['HTML', 'Python', 'Java', 'JavaScript']"
Nepal Digital Marketing,['HTML']
Digital Home International,"['Java', 'R']"
Nepal Green Tech,"['Data Science', 'JavaScript']"
Nepal Water Tech,"['SQL', 'HTML', 'R', 'CSS', 'C++']"
Nepal Agri Tech,"['HTML', 'Python', 'Data Science', 'SQL', 'C++']"
Nepal Edu Tech,"['JavaScript', 'HTML', 'Machine Learning', 'R', 'SQL']"
Nepal Agri Tech,"['Java', 'JavaScript', 'SQL', 'Data Science', 'HTML']"
Proshore,"['Machine Learning', 'Java', 'HTML', 'R', 'Python']"
Upaya City Cargo,['Data Science']
Tootle,"['Java', 'Python', 'CSS', 'C++', 'R']"
Nepal Legal Tech,"['R', 'C++', 'SQL']"
Foodmandu,"['SQL', 'Java', 'Data Science', 'Machine Learning', 'JavaScript']"
GrowByData,"['C++', 'Data Science', 'Machine Learning', 'SQL', 'HTML']"
Ncell,['JavaScript']
Nepal Logistics Tech,"['R', 'JavaScript', 'C++', 'Java']"
Verscend,"['C++', 'JavaScript', 'R', 'Machine Learning']"
Arhant Solutions,"['R', 'SQL', 'Java', 'Python', 'HTML']"
IT Gurus,"['C++', 'Java', 'Data Science', 'HTML']"
Tiger Palace Resort,"['CSS', 'Java', 'Data Science', 'C++']"
Nepal Wireless,"['Machine Learning', 'R', 'CSS', 'Python']"
Optimum Futurist,"['Python', 'JavaScript', 'HTML', 'Data Science']"
Real Time Solutions,"['C++', 'Machine Learning']"
Pathao,['Python']
Nepal Beverage Tech,"['CSS', 'R', 'JavaScript', 'SQL', 'Java']"
Innovate Tech,"['HTML', 'C++', 'CSS']"
F1Soft,"['R', 'JavaScript', 'Python', 'C++']"
Nepal Drives,"['JavaScript', 'Python', 'CSS', 'Machine Learning']"
Vianet,"['Data Science', 'CSS', 'Machine Learning', 'JavaScript', 'HTML']"
Nepal Agri Tech,"['Machine Learning', 'CSS', 'R', 'C++', 'HTML']"
Nepal Health Tech,['Java']
Nepal Digital Solutions,['C++']
Nepal Computer,"['Machine Learning', 'Java', 'SQL', 'Data Science']"
Nepal Real Estate Tech,['R']
Nepal E-commerce Solutions,['HTML']
Nepal Retail Tech,['JavaScript']
NAXA,['SQL']
Nepal IoT Solutions,"['Java', 'SQL', 'R', 'C++']"
Nepal Web Development,"['Machine Learning', 'C++']"
Elder IT Solutions,"['Machine Learning', 'JavaScript']"
Digital Nepal,"['Machine Learning', 'HTML', 'SQL', 'JavaScript']"
Nepal Blockchain Solutions,"['Java', 'SQL']"
Genese Solution,"['Data Science', 'SQL', 'C++', 'JavaScript', 'R']"
Deerwalk Institute,['CSS']
Nepal Hospitality Tech,"['Data Science', 'CSS']"
F1Soft,"['JavaScript', 'HTML']"
Digital Home International,"['CSS', 'Data Science']"
